Id,Group,Click,Basket,Purchase,Timestamp
1,Experience,1,0,0,2024-07-01 00:00:00.000
2,Experience,0,0,0,2024-07-01 00:00:34.560
3,Experience,1,1,0,2024-07-01 00:01:09.120
4,Experience,0,0,0,2024-07-01 00:01:43.680
5,Experience,0,0,0,2024-07-01 00:02:18.240
6,Experience,1,1,0,2024-07-01 00:02:52.800
7,Experience,0,0,0,2024-07-01 00:03:27.360
8,Experience,1,0,0,2024-07-01 00:04:01.920
9,Experience,1,1,1,2024-07-01 00:04:36.480
10,Experience,1,1,1,2024-07-01 00:05:11.040
11,Experience,0,0,0,2024-07-01 00:05:45.600
12,Experience,1,1,1,2024-07-01 00:06:20.160
13,Experience,1,1,0,2024-07-01 00:06:54.720
14,Experience,0,0,0,2024-07-01 00:07:29.280
15,Experience,1,1,1,2024-07-01 00:08:03.840
16,Experience,1,1,0,2024-07-01 00:08:38.400
17,Experience,1,1,0,2024-07-01 00:09:12.960
18,Experience,1,1,1,2024-07-01 00:09:47.520
19,Experience,0,0,0,2024-07-01 00:10:22.080
20,Experience,1,0,0,2024-07-01 00:10:56.640
21,Experience,1,0,0,2024-07-01 00:11:31.200
22,Experience,1,0,0,2024-07-01 00:12:05.760
23,Experience,0,0,0,2024-07-01 00:12:40.320
24,Experience,0,0,0,2024-07-01 00:13:14.880
25,Experience,1,0,0,2024-07-01 00:13:49.440
26,Experience,1,1,0,2024-07-01 00:14:24.000
27,Experience,0,0,0,2024-07-01 00:14:58.560
28,Experience,0,0,0,2024-07-01 00:15:33.120
29,Experience,0,0,0,2024-07-01 00:16:07.680
30,Experience,1,1,1,2024-07-01 00:16:42.240
31,Experience,1,0,0,2024-07-01 00:17:16.800
32,Experience,1,0,0,2024-07-01 00:17:51.360
33,Experience,1,1,1,2024-07-01 00:18:25.920
34,Experience,1,1,1,2024-07-01 00:19:00.480
35,Experience,0,0,0,2024-07-01 00:19:35.040
36,Experience,0,0,0,2024-07-01 00:20:09.600
37,Experience,1,1,1,2024-07-01 00:20:44.160
38,Experience,0,0,0,2024-07-01 00:21:18.720
39,Experience,1,1,1,2024-07-01 00:21:53.280
40,Experience,1,0,0,2024-07-01 00:22:27.840
41,Experience,1,1,0,2024-07-01 00:23:02.400
42,Experience,1,1,0,2024-07-01 00:23:36.960
43,Experience,1,0,0,2024-07-01 00:24:11.520
44,Experience,1,1,0,2024-07-01 00:24:46.080
45,Experience,0,0,0,2024-07-01 00:25:20.640
46,Experience,1,1,1,2024-07-01 00:25:55.200
47,Experience,1,1,0,2024-07-01 00:26:29.760
48,Experience,1,1,0,2024-07-01 00:27:04.320
49,Experience,1,0,0,2024-07-01 00:27:38.880
50,Experience,1,1,0,2024-07-01 00:28:13.440
51,Experience,1,0,0,2024-07-01 00:28:48.000
52,Experience,1,1,0,2024-07-01 00:29:22.560
53,Experience,1,1,1,2024-07-01 00:29:57.120
