Id,Group,Click,Basket,Purchase,Timestamp
1,Experience,0,0,0,2024-07-08 14:32:56
2,Experience,1,0,0,2024-07-14 16:23:33
3,Experience,1,1,0,2024-07-03 07:36:28
4,Experience,1,0,0,2024-07-11 10:38:21
5,Experience,1,1,1,2024-07-03 15:48:53
6,Experience,0,0,0,2024-07-14 09:57:55
7,Experience,1,0,0,2024-07-04 17:59:09
8,Experience,1,0,0,2024-07-13 20:45:15
9,Experience,1,1,0,2024-07-03 06:28:54
10,Experience,1,0,0,2024-07-14 18:08:34
11,Experience,0,0,0,2024-07-13 15:45:55
12,Experience,0,0,0,2024-07-03 22:41:31
13,Experience,1,1,0,2024-07-13 03:44:31
14,Experience,1,1,1,2024-07-05 08:13:09
15,Experience,1,1,0,2024-07-09 23:27:55
16,Experience,1,1,1,2024-07-09 02:38:40
17,Experience,1,1,0,2024-07-06 12:23:50
18,Experience,0,0,0,2024-07-14 06:38:43
19,Experience,0,0,0,2024-07-10 07:37:08
20,Experience,1,0,0,2024-07-10 16:17:55
21,Experience,1,0,0,2024-07-03 09:00:11
22,Experience,1,1,1,2024-07-14 11:21:15
23,Experience,1,1,1,2024-07-06 15:57:21
24,Experience,1,0,0,2024-07-06 21:52:41
25,Experience,0,0,0,2024-07-09 11:45:18
26,Experience,1,0,0,2024-07-03 15:55:56
27,Experience,1,0,0,2024-07-09 22:01:12
28,Experience,1,0,0,2024-07-04 02:03:28
29,Experience,0,0,0,2024-07-05 10:40:34
30,Experience,0,0,0,2024-07-10 01:25:53
31,Experience,1,0,0,2024-07-10 14:59:33
32,Experience,0,0,0,2024-07-13 02:52:48
33,Experience,0,0,0,2024-07-06 17:11:17
34,Experience,1,0,0,2024-07-03 06:59:31
35,Experience,1,0,0,2024-07-14 04:37:23
36,Experience,1,1,0,2024-07-12 11:09:36
37,Experience,1,1,0,2024-07-14 06:35:06
38,Experience,1,0,0,2024-07-07 00:08:46
39,Experience,1,1,0,2024-07-04 01:47:18
40,Experience,0,0,0,2024-07-08 12:04:59
41,Experience,1,0,0,2024-07-06 16:08:31
42,Experience,0,0,0,2024-07-05 17:56:14
43,Experience,0,0,0,2024-07-08 19:24:16
44,Experience,1,1,0,2024-07-09 20:50:07
45,Experience,1,1,1,2024-07-08 09:45:54
46,Experience,0,0,0,2024-07-07 15:18:51
